# tiempos tomados sin podas G, S y Z. Y sin promediar las muestras. 
n^2-k tiempo
2 0,00010500
2 0,00012700
2 0,00013700
2 0,00014000
2 0,00025600
2 0,00028300
2 0,00021800
1 0,00009400
1 0,00008700
1 0,00012000
1 0,00012800
1 0,00012700
1 0,00013600
1 0,00015000
1 0,00026300
1 0,00023400
1 0,00011200
1 0,00007500
1 0,00005700
1 0,00009700
1 0,00011700
1 0,00017100
0 0,00013400
0 0,00015700
0 0,00015900
0 0,00017000
0 0,00025200
0 0,00019300
0 0,00011800
0 0,00007500
0 0,00008000
0 0,00009300
0 0,00014600
0 0,00024200
0 0,00011900
0 0,00011700
0 0,00011600
25 0,00012800
25 0,00028600
25 0,00028300
25 0,00023100
25 0,00010400
25 0,00021100
25 0,00013100
25 0,00013200
25 0,00023500
25 0,00010100
25 0,00014100
25 0,00024800
25 0,00012000
25 0,00010200
25 0,00012400
24 0,00014200
24 0,00017100
24 0,00022900
24 0,00013900
24 0,00018700
24 0,00013000
24 0,00024700
24 0,00013700
24 0,00015100
24 0,00010100
24 0,00009100
24 0,00012500
24 0,00013000
24 0,00023200
24 0,00011000
23 0,00010400
23 0,00012700
23 0,00025300
23 0,00022600
23 0,00012500
23 0,00013000
23 0,00013000
23 0,00009600
23 0,00009400
23 0,00009400
23 0,00010900
23 0,00010400
23 0,00014000
23 0,00011100
23 0,00014100
22 0,00023900
22 0,00019900
22 0,00012100
22 0,00026700
22 0,00009600
22 0,00013300
22 0,00011600
22 0,00012600
22 0,00011100
22 0,00010000
22 0,00011300
22 0,00010400
22 0,00013000
22 0,00011800
22 0,00013100
21 0,00013500
21 0,00013800
21 0,00011300
21 0,00017900
21 0,00016100
21 0,00031700
21 0,00014200
21 0,00020200
21 0,00012600
21 0,00010700
21 0,00013000
21 0,00013100
21 0,00024300
21 0,00024300
21 0,00016000
20 0,00012700
20 0,00011700
20 0,00011300
20 0,00014800
20 0,00012000
20 0,00013500
20 0,00012800
20 0,00008400
20 0,00014100
20 0,00018500
20 0,00015700
20 0,00030700
20 0,00015700
20 0,00020800
20 0,00023700
19 0,00019300
19 0,00013600
19 0,00011900
19 0,00008400
19 0,00014300
19 0,00033600
19 0,00021800
19 0,00011600
19 0,00015900
19 0,00018300
19 0,00020900
19 0,00010700
19 0,00016000
19 0,00027300
19 0,00022300
18 0,00016200
18 0,00013500
18 0,00014100
18 0,00022400
18 0,00017800
18 0,00009200
18 0,00010000
18 0,00011700
18 0,00015600
18 0,00024400
